,,title,url,pid,formatted_url,price,currency,original_price,discount,f_assured,highlights,seller,seller_rating,description,specifications,formatted_specifications,images,return_policy,category,sub_category_1,sub_category_2,sub_category_3,breadcrumbs,country_of_origin,generic_name,manufactured_by,avg_ratings,reviews_count,ratings_count,uniq_id,scraped_at
348,666,"itrusto Back Cover for Oppo Realme X  (Multicolor, Waterproof, Silicon, Pack of: 1)",https://www.flipkart.com/hi/itrusto-back-cover-oppo-realme-x/p/itmf1d06e0a80101,itmf1d06e0a80101,https://www.flipkart.com/product/p/itmf1d06e0a80101,215,INR,₹999,78% off,True,Suitable For: Mobile | Material: Silicon | Theme: For Her | Type: Back Cover,BRincorporation,3.8,"itrusto Presents this mobile back case that is made of high quality material for providing good protection against scrathes, dust and damages. Furtherrmore the case is designed to be compatible with Oppo Realme X model phones. The case offers access to all functions, controls and ports for user convenience. It is easy to install and uninstall as well as clean. The package contains one Oppo Realme X back cover (Multicolor)","[{'Sales Package': '1 Printed Back Cover'}, {'Model Number': 'RR-LEA-MMM-X1027'}, {'Designed For': 'Oppo Realme X'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}, {'Other Features': 'HD UV Back Case Cover for Oppo Realme X , Premium Quality Soft Silicon Case Cover, Prefect Cut- Outs and Perfect Fit, Smooth Finish Printed Back Case Cover for Oppo Realme X , Light Weight Back Case Cover'}]","1 Printed Back Cover: Sales Package | RR-LEA-MMM-X1027: Model Number | Oppo Realme X: Designed For | Multicolor: Brand Color | 1: Pack of | HD UV Back Case Cover for Oppo Realme X , Premium Quality Soft Silicon Case Cover, Prefect Cut- Outs and Perfect Fit, Smooth Finish Printed Back Case Cover for Oppo Realme X , Light Weight Back Case Cover: Other Features",https://rukminim2.flixcart.com/image/jxz0brk0/cases-covers/back-cover/e/s/m/itrusto-rr-lea-mmm-x1027-original-imafgbbg7pxgzhzk.jpeg | https://rukminim2.flixcart.com/image/jxz0brk0/cases-covers/back-cover/t/a/b/itrusto-vii-vvo-z1pr-778-original-imaf6t7buakxy7hz.jpeg | https://rukminim2.flixcart.com/image/jxz0brk0/cases-covers/back-cover/t/a/b/itrusto-vii-vvo-z1pr-778-original-imaf6t7bzhccjuqz.jpeg | https://rukminim2.flixcart.com/image/jxz0brk0/cases-covers/back-cover/b/q/q/itrusto-vii-vvo-z1pr-1006-original-imafeekzb2w7f7cf.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | itrusto Designer Cases & Covers,,,,0,0,0,73ec6761-27cb-5057-9752-65cc17d84635,01/01/24
349,668,"Zappy Back Cover for Poco M2, Mi Redmi 9 Prime, Poco M2 Reloaded  (Black, White, Hard Case, Pack of: 1)",https://www.flipkart.com/hi/zappy-back-cover-poco-m2-mi-redmi-9-prime-m2-reloaded/p/itmc49722ef5cadb,itmc49722ef5cadb,https://www.flipkart.com/product/p/itmc49722ef5cadb,229,INR,₹899,74% off,True,Suitable For: Mobile | Material: Plastic | Theme: Quotes/Signs/Symbols | Type: Back Cover,ZAPPY1,3.8,premium quality polycarbonate material which is durable and light weight that ensures sleek and compact look for your Mobile phone . Every Printed Designer Pouch is printed with precision and designed in a way that it perfectly fits onto the back of the mobile phone.,"[{'Sales Package': '1 BACK COVER'}, {'Model Number': '3DSM-M2-9772'}, {'Designed For': 'Poco M2, Mi Redmi 9 Prime, Poco M2 Reloaded'}, {'Brand Color': 'Black, White'}, {'Pack of': '1'}]","1 BACK COVER: Sales Package | 3DSM-M2-9772: Model Number | Poco M2, Mi Redmi 9 Prime, Poco M2 Reloaded: Designed For | Black, White: Brand Color | 1: Pack of",,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | Zappy Designer Cases & Covers,,,,0,0,0,5c592be2-4125-5db4-ad05-d56d0ef3047d,01/01/24
350,669,"ORBIQE Back Cover for Realme C30 KRISHNA GOD, KRISHNA KANHIYA, FLUTE, SUDARSHANA CHAKRA  (Multicolor, Hard Case, Pack of: 1)",https://www.flipkart.com/orbiqe-back-cover-realme-c30-krishna-god-kanhiya-flute-sudarshana-chakra/p/itm093589b9f0ccc,itm093589b9f0ccc,https://www.flipkart.com/product/p/itm093589b9f0ccc,259,INR,₹999,74% off,True,Suitable For: Mobile | Material: Plastic | Theme: Religion/Festivals/Spiritual | Type: Back Cover,WALL KAR,4.3,"This premium back cover is an offering from ORBIQE which is tailor made for your Realme C30, The design elements of this case include KRISHNA GOD, KRISHNA KANHIYA, FLUTE, SUDARSHANA CHAKRA, This mobile case embraces you phone precisely with optimal cut-outs for buttons and ports. The phone cover is made from light but extremely durable poly-carbonate material to protect your precious phone from drops and scratches.","[{'Sales Package': '1 Designer Printed Back Cover For Realme C30'}, {'Model Number': 'RMX3581-KRISHNA GOD-KRISHNA KANHIYA-FLUTE-SUDARSHANA CHAKRA-45'}, {'Designed For': 'Realme C30 KRISHNA GOD, KRISHNA KANHIYA, FLUTE, SUDARSHANA CHAKRA'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}]","1 Designer Printed Back Cover For Realme C30: Sales Package | RMX3581-KRISHNA GOD-KRISHNA KANHIYA-FLUTE-SUDARSHANA CHAKRA-45: Model Number | Realme C30 KRISHNA GOD, KRISHNA KANHIYA, FLUTE, SUDARSHANA CHAKRA: Designed For | Multicolor: Brand Color | 1: Pack of",https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/j/x/q/rmx3581-krishna-god-krishna-kanhiya-flute-sudarshana-chakra-45-original-imaggyh7axxpt9gg.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/0/x/h/rmx3286-shinchan-cartoon-funny-cute-shinchan-cat-crayon-shinchan-original-imaggg7ghjubwwzq.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/q/q/2/rmx3286-shinchan-cartoon-funny-cute-shinchan-cat-crayon-shinchan-original-imaggg7gkehxemag.jpeg | https://rukminim2.flixcart.com/image/xif0q/cases-covers/back-cover/w/8/s/rmx3286-krishna-lord-krishna-vasudev-god-krishn-kanhiya-radha-1-original-imaggg7jmzfggjyg.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | ORBIQE Designer Cases & Covers,India,Cases & Covers,WALL KAR JAIPUR,0,0,0,e3befee9-61e8-59ed-bb40-bf07ec7d1fc8,01/01/24
351,670,"Cover Bazaar Back Cover for Infinix Smart 6  (Multicolor, Grip Case, Silicon)",https://www.flipkart.com/hi/cover-bazaar-back-infinix-smart-6/p/itmbe473be82c957,itmbe473be82c957,https://www.flipkart.com/product/p/itmbe473be82c957,140,INR,₹699,79% off,False,,DealsGrab,4,"These Designs On The Cases Are Designed By 'Cover Bazaar' This Designer Case Allows Easy Access To All Buttons Controls. This Cover Designer Case Cover Is Attractive, Comfortable, Light Weight And Has Unique Design It Perfectly Fit And Protects your PHONE","[{'Sales Package': '1 Printed Mobile Back Cover'}, {'Model Number': 'CVRBZ_IFXSMT6_26NovD2052'}, {'Designed For': 'Infinix Smart 6'}, {'Brand Color': 'Multicolor'}, {'Net Quantity': '1'}, {'Pack of': '1'}, {'Other Features': 'Back Cover, Back Case, Mobile Cover, for Girls, for Boys, Soft, Designer, Printed, Flexible, Silicon, Grip Case, 5G'}]","1 Printed Mobile Back Cover: Sales Package | CVRBZ_IFXSMT6_26NovD2052: Model Number | Infinix Smart 6: Designed For | Multicolor: Brand Color | 1: Net Quantity | 1: Pack of | Back Cover, Back Case, Mobile Cover, for Girls, for Boys, Soft, Designer, Printed, Flexible, Silicon, Grip Case, 5G: Other Features",https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/f/l/r/cvrbz-ifxsmt6-26novd2052-back-cover-cover-bazaar-original-imagkdfk4vf3k9ye.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/6/v/p/cvrbz-ifxsmt6-26novd2052-back-cover-cover-bazaar-original-imagkdfkyqkxus5e.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/a/0/q/cvrbz-ifxsmt6-26novd2052-back-cover-cover-bazaar-original-imagkdfkzy9zazvg.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/z/0/s/cvrbz-ifxsmt6-26novd2052-back-cover-cover-bazaar-original-imagkdfknntjf2bm.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/g/j/s/cvrbz-ifxsmt6-26novd2052-back-cover-cover-bazaar-original-imagkdfkgtgxxdfw.jpeg,वापसी नहीं होगी ,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | Cover Bazaar Designer Cases & Covers,,,,0,0,0,12384a3e-efbf-59bf-a729-b53e31de7576,01/01/24
352,671,"Nassion Back Cover for Mi Redmi Note 5 Pro Back Cover  (Multicolor, Dual Protection, Silicon, Pack of: 1)",https://www.flipkart.com/hi/nassion-back-cover-mi-redmi-note-5-pro/p/itmd55a4bbd56ad2,itmd55a4bbd56ad2,https://www.flipkart.com/product/p/itmd55a4bbd56ad2,197,INR,₹999,80% off,True,Suitable For: Mobile | Material: Silicon | Theme: Quotes/Signs/Symbols | Type: Back Cover,Royal Nassion,4.2,"Brand New Soft Designer Printed Case Express yourself by your phone and making it stand out. Many design and Prints in stock for your choice This Case keeps your PHONE safe and protected. Durable construction offers premium protection for side and back of your phone. Allows easy access to all buttons, controls and ports. Nassion is the manufacturer of the cover and print our own covers, And we Do not print the sides of the cover. So corners would always be transparent.","[{'Sales Package': '1 Back Cover'}, {'Model Number': 'RDN-RED5-PR-595'}, {'Designed For': 'Mi Redmi Note 5 Pro Back Cover'}, {'Brand Color': 'Multicolor'}, {'Pack of': '1'}, {'Certification': 'Nassion'}, {'Other Features': 'Nassion cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working ,and without removing the skin.'}]","1 Back Cover: Sales Package | RDN-RED5-PR-595: Model Number | Mi Redmi Note 5 Pro Back Cover: Designed For | Multicolor: Brand Color | 1: Pack of | Nassion: Certification | Nassion cases & covers have dust free,Washable,Fingerprints free,Made of soft silicone which make it soft and durable.Access to all buttons, Controls & Ports easily working ,and without removing the skin.: Other Features",https://rukminim2.flixcart.com/image/ktg4ia80/cases-covers/back-cover/r/t/w/rdn-red5-pr-595-nassion-original-imag6sawbyvrjtbc.jpeg | https://rukminim2.flixcart.com/image/ktg4ia80/cases-covers/back-cover/r/l/k/rdn-red5-pr-595-nassion-original-imag6sawmf7ggjhh.jpeg | https://rukminim2.flixcart.com/image/ktg4ia80/cases-covers/back-cover/k/f/q/rdn-red5-pr-595-nassion-original-imag6sawtbmae5ej.jpeg | https://rukminim2.flixcart.com/image/ktg4ia80/cases-covers/back-cover/f/c/x/rdn-red5-pr-595-nassion-original-imag6sawmbnnsgnz.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | Nassion Designer Cases & Covers,,,,0,0,0,5f91a0f5-54ea-5ea3-9746-1f74a832f9c8,01/01/24
353,672,"SHIVKUDI Back Cover for IQOO Z6 Lite 5G  (Multicolor, Silicon)",https://www.flipkart.com/shivkudi-back-cover-iqoo-z6-lite-5g/p/itm1a678063f1ebe,itm1a678063f1ebe,https://www.flipkart.com/product/p/itm1a678063f1ebe,143,INR,₹498,71% off,False,,MAHAKALSHIV,3.9,,[],,https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/h/t/5/jp-iqz65g-jp4154-back-cover-sswastik-original-imaggrerftdazgbq.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/p/l/o/jp-iqz65g-jp4154-back-cover-sswastik-original-imaggrerw7uvbvxa.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/b/n/m/jp-iqz65g-jp4154-back-cover-sswastik-original-imaggrertf3z9chy.jpeg | https://rukminim2.flixcart.com/image/xif0q/shopsy-cases-covers/z/3/p/clpd-cool3-jp4154-back-cover-bagra-original-imaggjpz4e9dqwts.jpeg,No Returns Applicable,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | SHIVKUDI Designer Cases & Covers,India,Shopsy Cases Covers,,0,0,0,3b3cda55-4925-511d-b96e-bafca2b518fd,01/01/24
354,673,"SAMARA Flip Cover for Samsung Galaxy M30, SM-M305F  (Brown, Dual Protection, Pack of: 1)",https://www.flipkart.com/samara-flip-cover-samsung-galaxy-m30-sm-m305f/p/itm1daee8cab26d2,itm1daee8cab26d2,https://www.flipkart.com/product/p/itm1daee8cab26d2,259,INR,₹799,67% off,True,"Suitable For: Mobile | Material: Artificial Leather, Silicon | Theme: Patterns | Type: Flip Cover",SequencerInternational,4.6,"PERFECT FIT for Samsung Galaxy M30, SM-M305F this cover is perfect fit to the mobile. It's having accurate cuttings to the camera, speakers, flash and other parts of the mobile.
FLIP COVER WITH MAGNET LOCK… Here is the final solution in the flip cover segment for your mobile. This flip Cover comes with magnet lock.
UNIQUE DESIGN FOR SAFETY: Inner case is made up of soft TPU (that does not crack unlike other leather cases) to provide shock absorption.","[{'Sales Package': '1 Premium Vintage Flip Cover for Samsung Galaxy M30, SM-M305F'}, {'Model Number': 'VinFlip500-Galaxy M30, SM-M305F'}, {'Designed For': 'Samsung Galaxy M30, SM-M305F'}, {'Brand Color': 'Executive Brown'}, {'Pack of': '1'}, {'Other Features': 'Tough 360 Degree Complete Protection, Cash & Credit Card Slot, Dustproof, Complete access to all ports and buttons of the device'}]","1 Premium Vintage Flip Cover for Samsung Galaxy M30, SM-M305F: Sales Package | VinFlip500-Galaxy M30, SM-M305F: Model Number | Samsung Galaxy M30, SM-M305F: Designed For | Executive Brown: Brand Color | 1: Pack of | Tough 360 Degree Complete Protection, Cash & Credit Card Slot, Dustproof, Complete access to all ports and buttons of the device: Other Features",https://rukminim2.flixcart.com/image/k5e7o280/cases-covers/flip-cover/j/z/s/samara-vinflip571-y51-original-imafz2xb68rz3yhf.jpeg | https://rukminim2.flixcart.com/image/k5e7o280/cases-covers/flip-cover/5/g/3/samara-vinflip133-a71-model-no-cph1717-original-imafz2xbgtfuwek6.jpeg | https://rukminim2.flixcart.com/image/k5e7o280/cases-covers/flip-cover/4/u/x/samara-vinflip493-galaxy-m20-sm-m205f-original-imaffsgqtf7e3m6x.jpeg | https://rukminim2.flixcart.com/image/k5e7o280/cases-covers/flip-cover/e/z/h/samara-vinflip91-6-1-ta-1089-original-imaffsgpgbmwf32v.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | SAMARA Designer Cases & Covers,India,Cases & Covers,,0,0,0,e3826e43-1d2a-5ab2-8c84-7fc17e59d30e,01/01/24
355,675,"SYARA OGO_411C_Touch Lamp Bluetooth Speaker compatiable With all smart phones || Bluetooth speaker with SD card and USB slot Wireless Bluetooth Multimedia Speaker || Wireless Speaker || Bluetooth Speaker for Desktop PC|| Bluetooth Speaker Home Audio|| Pendrive Supported || FM , Aux, TF, Speaker Phone / Wireless Speaker Compatible with all your devices. 48 W Bluetooth Speaker  (Multicolor, 2.1 Channel)",https://www.flipkart.com/hi/syara-ogo-411c-touch-lamp-bluetooth-speaker-compatiable-all-smart-phones-sd-card-usb-slot-wireless-multimedia-desktop-pc-home-audio-pendrive-supported-fm-aux-tf-phone-compatible-your-devices-48-w/p/itm351692cc88ea2,itm351692cc88ea2,https://www.flipkart.com/product/p/itm351692cc88ea2,449,INR,₹819,45% off,True,Power Output(RMS): 48 W | Wireless music streaming via Bluetooth,Guggu Enterprises,3.4,,"[{'Sales Package': '1 Bluetooth speaker'}, {'Model Number': 'OGO_411C_Touch Lamp Bluetooth Speaker compatiable With all smart phones || Bluetooth speaker with SD card and USB slot Wireless Bluetooth Multimedia Speaker || Wireless Speaker || Bluetooth Speaker for Desktop PC|| Bluetooth Speaker Home Audio|| Pendrive Supported || FM , Aux, TF, Speaker Phone / Wireless Speaker Compatible with all your devices.'}, {'Type': 'Mobile/Tablet Speaker'}, {'Bluetooth': 'Yes'}, {'Configuration': '2.1'}, {'Power Output (RMS)': '48 W'}, {'Color': 'Multicolor'}, {'Configuration': '2.1 Channel'}, {'Width': '10 cm'}, {'Height': '10 cm'}, {'Depth': '7 cm'}]","1 Bluetooth speaker: Sales Package | OGO_411C_Touch Lamp Bluetooth Speaker compatiable With all smart phones || Bluetooth speaker with SD card and USB slot Wireless Bluetooth Multimedia Speaker || Wireless Speaker || Bluetooth Speaker for Desktop PC|| Bluetooth Speaker Home Audio|| Pendrive Supported || FM , Aux, TF, Speaker Phone / Wireless Speaker Compatible with all your devices.: Model Number | Mobile/Tablet Speaker: Type | Yes: Bluetooth | 2.1: Configuration | 48 W: Power Output (RMS) | Multicolor: Color | 2.1 Channel: Configuration | 10 cm: Width | 10 cm: Height | 7 cm: Depth",https://rukminim2.flixcart.com/image/kvsfhjk0/speaker/mobile-tablet-speaker/w/a/f/ogo-411c-touch-lamp-bluetooth-speaker-compatiable-with-all-smart-original-imag8mymphsheghj.jpeg | https://rukminim2.flixcart.com/image/kjabs7k0-0/speaker/mobile-tablet-speaker/w/x/f/ign-453q-mi-touch-lamp-bluetooth-speaker-compatiable-with-all-original-imafyw4e7wfbncep.jpeg | https://rukminim2.flixcart.com/image/kjabs7k0-0/speaker/mobile-tablet-speaker/v/h/a/mhe-615a-mi-touch-lamp-bluetooth-speaker-compatiable-with-all-original-imafyw4jjrumydzf.jpeg | https://rukminim2.flixcart.com/image/kjabs7k0-0/speaker/mobile-tablet-speaker/y/3/m/ign-453q-mi-touch-lamp-bluetooth-speaker-compatiable-with-all-original-imafyw4etj2fpcfj.jpeg,7 Days Replacement Policy,Audio & Video,Speakers,SYARA Speakers,"SYARA OGO_411C_Touch Lamp Bluetooth Speaker compatiable With all smart phones || Bluetooth speaker with SD card and USB slot Wireless Bluetooth Multimedia Speaker || Wireless Speaker || Bluetooth Speaker for Desktop PC|| Bluetooth Speaker Home Audio|| Pendrive Supported || FM , Aux, TF, Speaker Phone / Wireless Speaker Compatible with all your devices. 48 W Bluetooth Speaker (Multicolor, 2.1 Channel)",Audio & Video | Speakers | SYARA Speakers,,,,0,0,0,1cf6aac4-c422-5075-9908-9d038f9b252c,01/01/24
356,678,"JSSIS Back Cover for Vivo U20, Vivo U20 Back Cover, Vivo U20 Mobile Back Cover  (Multicolor, Grip Case, Silicon, Pack of: 1)",https://www.flipkart.com/hi/jssis-back-cover-vivo-u20-u20-cover-mobile/p/itm885d65d501614,itm885d65d501614,https://www.flipkart.com/product/p/itm885d65d501614,249,INR,₹799,68% off,True,Suitable For: Mobile | Material: Silicon | Theme: Comics/Cartoons/Superheroes | Type: Back Cover,JSSIS,3.4,"JSSIS brand new stunningly attractive case,for your new Vivo U20 cellphone is an ultimate style statement. The appropriate cutouts for the speaker, camera and other openings gives the best look to your Vivo U20 cellphone. JSSIS Vivo U20 case is made up of high quality durable material which provides best functionality and safety.Beautiful design, elegant appearance and powerful protection all combined on one rare case.","[{'Sales Package': '1 Printed back cover'}, {'Model Number': 'JVU20-0208'}, {'Designed For': 'Vivo U20, Vivo U20 Back Cover, Vivo U20 Mobile Back Cover'}, {'Brand Color': 'Love,Heart,Dil,pyaar,Doll,Baby,forever,miss you,Girls,Hug,Designer'}, {'Pack of': '1'}, {'Certification': 'JSSIS'}, {'Other Features': 'Vivo U20 Dust free, washable, Fingerprints Free,Made of soft silicone which make it soft and durable.Access to All buttons, Controls & Ports easily, and without removing the skin.'}]","1 Printed back cover: Sales Package | JVU20-0208: Model Number | Vivo U20, Vivo U20 Back Cover, Vivo U20 Mobile Back Cover: Designed For | Love,Heart,Dil,pyaar,Doll,Baby,forever,miss you,Girls,Hug,Designer: Brand Color | 1: Pack of | JSSIS: Certification | Vivo U20 Dust free, washable, Fingerprints Free,Made of soft silicone which make it soft and durable.Access to All buttons, Controls & Ports easily, and without removing the skin.: Other Features",https://rukminim2.flixcart.com/image/k391w280/cases-covers/back-cover/k/g/m/jssis-jvu20-0208-original-imafmf5kdqebzzsh.jpeg | https://rukminim2.flixcart.com/image/k391w280/cases-covers/back-cover/g/z/s/jssis-jvu20-0095-original-imafdgxqsxhxbzjm.jpeg | https://rukminim2.flixcart.com/image/k391w280/cases-covers/back-cover/z/n/b/jssis-jvu20-0423-original-imafgehghgqr9fsh.jpeg,7 Days Replacement Policy,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | JSSIS Designer Cases & Covers,,,,0,0,0,41c5f82f-27fa-57d3-bf48-308b86959362,01/01/24
357,679,"Buytrend Back Cover for Nokia 6.1 Plus Mobile  (Multicolor, Silicon)",https://www.flipkart.com/hi/buytrend-back-cover-nokia-6-1-plus-mobile/p/itm65b3176614fbc,itm65b3176614fbc,https://www.flipkart.com/product/p/itm65b3176614fbc,139,INR,₹499,72% off,False,,Buytrend,,,"[{'Sales Package': '1'}, {'Model Number': 'by-nokia6.1plus-1178'}, {'Designed For': 'Nokia 6.1 Plus Mobile'}, {'Brand Color': 'Multicolor'}, {'Net Quantity': '1'}, {'Pack of': '1'}]",1: Sales Package | by-nokia6.1plus-1178: Model Number | Nokia 6.1 Plus Mobile: Designed For | Multicolor: Brand Color | 1: Net Quantity | 1: Pack of,https://rukminim2.flixcart.com/image/l3dcl8w0/shopsy-cases-covers/3/s/1/by-nokia6-1plus-1178-back-cover-buytrend-original-imageg8twmdnj3wy.jpeg | https://rukminim2.flixcart.com/image/l3dcl8w0/shopsy-cases-covers/l/e/f/by-nokia6-1plus-1178-back-cover-buytrend-original-imageg8tz82e6ehz.jpeg,वापसी नहीं होगी ,Mobiles & Accessories,Mobile Accessories,Cases & Covers,Designer Cases & Covers,Mobiles & Accessories | Mobile Accessories | Cases & Covers | Designer Cases & Covers | Buytrend Designer Cases & Covers,,,,0,0,0,392726e4-1a7a-5fa9-ab49-3e1a3b9e72e3,01/01/24
358,680,"SMART 4G A1 White Android & IOS Calling Watchphone Smartwatch  (White Strap, Free)",https://www.flipkart.com/hi/smart-4g-a1-white-android-ios-calling-watchphone-smartwatch/p/itm73fa70e29daf9,itm73fa70e29daf9,https://www.flipkart.com/product/p/itm73fa70e29daf9,881,INR,"₹1,499",41% off,True,"With Call Function | Touchscreen | Fitness & Outdoor, Health & Medical, Notifier, Safety & Security, Watchphone | Battery Runtime: Upto 2 days",WorldMaster,3.7,,"[{'Sales Package': 'pack of 1'}, {'Model Number': 'A1 WHITE WATCH 20'}, {'Model Name': 'A1 White Android & IOS Calling Watchphone'}, {'Dial Color': 'white'}, {'Dial Shape': 'Square'}, {'Strap Color': 'White'}, {'Strap Material': 'Rubber'}, {'Size': 'Free'}, {'Touchscreen': 'Yes'}, {'Water Resistant': 'No'}, {'Usage': 'Fitness & Outdoor, Health & Medical, Notifier, Safety & Security, Watchphone'}, {'Ideal For': 'Men & Women'}, {'Compatible OS': 'Android & iOS'}, {'Brand Strap Color': 'White'}, {'Sensor': 'ACCELEROMETER, GYROSCOPE, PEDOMETER'}, {'Compatible Device': 'Android & IOS'}, {'Notification': 'Yes'}, {'Notification Type': 'Whatsapp, Facebook'}, {'Battery Type': 'Lithium Ion'}, {'Charge Time': '30 min'}, {'Battery Life': '2days'}, {'Rechargeable Battery': 'Yes'}, {'Call Function': 'Yes'}, {'Bluetooth': 'Yes'}, {'Wi-Fi': 'No'}, {'GPS': 'No'}, {'Messaging Support': 'Yes'}, {'Email Support': 'No'}, {'Call Features': 'Yes'}, {'Third Party App Support': 'Yes'}, {'Display Resolution': '240x240 pixel'}, {'Display Size': '40 mm'}, {'Display Type': 'TFT LED'}, {'Backlight Display': 'No'}, {'Scratch Resistant': 'Yes'}, {'Calorie Count': 'Yes'}, {'Step Count': 'Yes'}, {'Heart Rate Monitor': 'Yes'}, {'Altimeter': 'Yes'}, {'Date & Time Display': 'Yes'}, {'Compass': 'Yes'}, {'Calendar': 'Yes'}, {'Alarm Clock': 'Yes'}, {'Chronograph': 'Yes'}, {'Language': 'English'}, {'Number of Buttons': '2'}, {'Speaker': 'Yes'}, {'Microphone': 'Yes'}, {'Voice Control': 'No'}]","pack of 1: Sales Package | A1 WHITE WATCH 20: Model Number | A1 White Android & IOS Calling Watchphone: Model Name | white: Dial Color | Square: Dial Shape | White: Strap Color | Rubber: Strap Material | Free: Size | Yes: Touchscreen | No: Water Resistant | Fitness & Outdoor, Health & Medical, Notifier, Safety & Security, Watchphone: Usage | Men & Women: Ideal For | Android & iOS: Compatible OS | White: Brand Strap Color | ACCELEROMETER, GYROSCOPE, PEDOMETER: Sensor | Android & IOS: Compatible Device | Yes: Notification | Whatsapp, Facebook: Notification Type | Lithium Ion: Battery Type | 30 min: Charge Time | 2days: Battery Life | Yes: Rechargeable Battery | Yes: Call Function | Yes: Bluetooth | No: Wi-Fi | No: GPS | Yes: Messaging Support | No: Email Support | Yes: Call Features | Yes: Third Party App Support | 240x240 pixel: Display Resolution | 40 mm: Display Size | TFT LED: Display Type | No: Backlight Display | Yes: Scratch Resistant | Yes: Calorie Count | Yes: Step Count | Yes: Heart Rate Monitor | Yes: Altimeter | Yes: Date & Time Display | Yes: Compass | Yes: Calendar | Yes: Alarm Clock | Yes: Chronograph | English: Language | 2: Number of Buttons | Yes: Speaker | Yes: Microphone | No: Voice Control",,7 Days Replacement Policy,Wearable Smart Devices,Smart Watches,SMART 4G Smart Watches,"SMART 4G A1 White Android & IOS Calling Watchphone Smartwatch (White Strap, Free)",Wearable Smart Devices | Smart Watches | SMART 4G Smart Watches,,,,0,0,0,a358fbfb-6a0d-53cb-a636-d56d7c7ce9ff,01/01/24
